0.45,0.38,0.5,-1397.5300000000002,-93.6175,-966.1949999999997,-2457.3424999999997
0.45,0.38,0.51,-1462.4825,-169.97500000000002,-887.0950000000003,-2519.5525000000002
0.45,0.38,0.52,-1484.6950000000002,-208.2775,-697.5199999999995,-2390.4924999999994
0.45,0.38,0.53,-1543.3474999999999,-270.73,-528.2249999999995,-2342.3024999999993
0.45,0.38,0.54,-1588.4025000000006,-297.90749999999997,-367.02750000000015,-2253.3375000000005
0.45,0.38,0.55,-1587.0024999999996,-317.225,-182.02499999999964,-2086.252499999999
0.45,0.39,0.5,-1540.3075,348.42,-1114.3925,-2306.2799999999997
0.45,0.39,0.51,-1540.0650000000005,255.85499999999996,-903.3099999999995,-2187.52
0.45,0.39,0.52,-1579.6799999999998,192.96749999999997,-760.2624999999998,-2146.9749999999995
0.45,0.39,0.53,-1567.4524999999999,117.82749999999999,-507.5474999999997,-1957.1724999999997
0.45,0.39,0.54,-1722.3525,18.974999999999966,-429.15000000000055,-2132.5275000000006
0.45,0.39,0.55,-1608.0725000000002,-30.21999999999997,-204.88749999999982,-1843.18
0.45,0.4,0.5,-1585.5224999999996,758.3499999999999,-1201.2375000000002,-2028.4099999999999
0.45,0.4,0.51,-1735.6624999999995,654.1,-1090.2749999999996,-2171.837499999999
0.45,0.4,0.52,-1725.3799999999997,622.2650000000001,-814.6075000000001,-1917.7224999999996
0.45,0.4,0.53,-1719.8874999999998,537.02,-631.8975,-1814.7649999999999
0.45,0.4,0.54,-1793.8525000000004,459.4750000000001,-495.72999999999956,-1830.1074999999998
0.45,0.4,0.55,-1744.8924999999995,394.8175,-275.09000000000015,-1625.1649999999995
0.46,0.38,0.5,-1075.9099999999999,-177.81999999999996,-982.8024999999998,-2236.5324999999993
0.46,0.38,0.51,-1191.0,-242.325,-911.2399999999998,-2344.5649999999996
0.46,0.38,0.52,-1274.3849999999998,-281.2675,-786.8299999999999,-2342.4824999999996
